iter	RMSE
0	4540.507968
1	4512.014417
2	4484.104428
3	4456.668078
4	4429.68664
5	4402.508214
6	4376.545386
7	4350.063266
8	4324.224766
9	4298.309507
10	4272.987807
11	4248.174513
12	4223.290462
13	4198.92725
14	4174.811653
15	4150.826126
16	4126.478031
17	4104.183336
18	4081.523955
19	4059.5512
20	4036.287235
21	4014.161475
22	3991.761563
23	3969.573537
24	3948.214926
25	3927.007293
26	3905.972087
27	3886.068583
28	3866.298449
29	3846.387722
30	3827.215696
31	3807.595512
32	3788.91794
33	3769.517977
34	3750.314002
35	3731.814725
36	3713.117789
37	3694.851482
38	3676.94498
39	3658.780584
40	3641.143478
41	3624.305519
42	3607.51276
43	3590.593117
44	3573.237931
45	3556.799756
46	3540.751019
47	3524.990295
48	3509.156722
49	3493.398435
50	3477.59407
51	3461.783251
52	3447.164097
53	3431.705928
54	3416.934583
55	3402.692483
56	3388.794135
57	3374.56489
58	3360.106268
59	3346.432545
60	3332.95226
61	3319.931392
62	3306.543791
63	3293.444834
64	3280.028852
65	3267.065366
66	3254.580403
67	3242.512614
68	3230.094016
69	3217.430067
70	3205.331162
71	3193.944447
72	3182.548563
73	3171.115155
74	3159.909097
75	3148.712604
76	3137.852574
77	3126.793133
78	3116.006075
79	3105.035842
80	3094.296444
81	3083.859625
82	3073.526005
83	3063.318539
84	3053.496585
85	3043.270377
86	3032.954295
87	3023.45608
88	3013.958041
89	3004.777441
90	2995.616426
91	2986.215635
92	2976.747379
93	2967.454166
94	2958.167766
95	2949.509275
96	2940.509564
97	2931.699342
98	2923.555037
99	2915.579253
