iter	Logloss
0	0.6858164695
1	0.6792394575
2	0.6723516375
3	0.6667190728
4	0.6602358611
5	0.6540889655
6	0.6482360352
7	0.6422914168
8	0.6366723914
9	0.6313004312
10	0.6258084586
11	0.6204428889
12	0.6165412964
13	0.612099865
14	0.6093857773
15	0.6057175481
16	0.6009565352
17	0.5966287256
18	0.5927283787
19	0.5900292384
20	0.5859913322
21	0.5822025492
22	0.5783507813
23	0.5755447889
24	0.5719334248
25	0.5685706964
26	0.5656512446
27	0.5636954117
28	0.5606281108
29	0.5574385229
30	0.5544350192
31	0.5513239592
32	0.5490795227
33	0.5460869587
34	0.5435207201
35	0.5408922549
36	0.5390970523
37	0.5363497662
38	0.5336840409
39	0.531048102
40	0.5289867709
41	0.5266605029
42	0.5243151173
43	0.5221010088
44	0.5199169034
45	0.5179568462
46	0.5159053176
47	0.5139493765
48	0.5119887236
49	0.5102372258
50	0.5084686685
51	0.5066625803
52	0.5049299293
53	0.5038574544
54	0.5022837005
55	0.5007240817
56	0.4994816074
57	0.4985406803
58	0.4971989358
59	0.4962389454
60	0.4948864779
61	0.4936294894
62	0.4925099519
63	0.4917576002
64	0.4904371395
65	0.4896711944
66	0.48872431
67	0.4877951892
68	0.4868629814
69	0.4861405786
70	0.4855317976
71	0.4847773338
72	0.4838736127
73	0.4832746883
74	0.4822649275
75	0.4811835708
76	0.4804914419
77	0.4794422546
78	0.4787638816
79	0.4780950944
80	0.4771249766
81	0.4764776898
82	0.4756047842
83	0.4749754776
84	0.4741278634
85	0.4732514375
86	0.4727166894
87	0.4718573231
88	0.4714415042
89	0.47113205
90	0.4703043114
91	0.4695266683
92	0.4689816303
93	0.4683875801
94	0.4679345551
95	0.467467666
96	0.4667372479
97	0.466175692
98	0.4656907685
99	0.4649441574
100	0.4643643505
101	0.4640359955
102	0.4633285401
103	0.4628660376
104	0.4622679256
105	0.4618798352
106	0.4614333633
107	0.4608553977
108	0.4604649785
109	0.4600958972
110	0.459556979
111	0.4590662607
112	0.4587395845
113	0.4581667097
114	0.4580145821
115	0.4576070493
116	0.4573414624
117	0.4569911737
118	0.4566367149
119	0.4563471905
120	0.4559802214
121	0.4556616146
122	0.4553336386
123	0.4548697823
124	0.4544568337
125	0.4541978269
126	0.4539553922
127	0.4536287431
128	0.453324136
129	0.4529214773
130	0.4524693189
131	0.4522186252
132	0.4518797637
133	0.4516327798
134	0.4513096238
135	0.4511272766
136	0.4507124325
137	0.4504869761
138	0.4501354146
139	0.4499029178
140	0.4497708826
141	0.4494386011
142	0.4491989285
143	0.4489846555
144	0.4487505611
145	0.4486449816
146	0.4484902816
147	0.4482134842
148	0.4479841014
149	0.4479066295
150	0.4476231166
151	0.4473136624
152	0.4470233799
153	0.4467283856
154	0.4465643435
155	0.4464225058
156	0.4461777965
157	0.4460105591
158	0.4458007813
159	0.4457478697
160	0.4456469477
161	0.4455156978
162	0.4452488653
163	0.4450429597
164	0.4448472356
165	0.4447251923
166	0.4446075087
167	0.4443205569
168	0.4441055257
169	0.444006743
170	0.4437829384
171	0.4435530411
172	0.4433689067
173	0.4431369243
174	0.4429784875
175	0.4427777538
176	0.4426504844
177	0.4425078073
178	0.4424419792
179	0.4424052336
180	0.4422081556
181	0.4420995433
182	0.4420231275
183	0.4418836457
184	0.4417073098
185	0.4416502011
186	0.4415463547
187	0.4414724842
188	0.4413322984
189	0.4412195702
190	0.4410804403
191	0.4410429094
192	0.4409065957
193	0.4408068653
194	0.4406803541
195	0.4405276849
196	0.4404469636
197	0.4403572793
198	0.4403214273
199	0.4402434409
