iter	Passed	Remaining
0	1	358
1	3	327
2	5	334
3	6	327
4	8	339
5	10	341
6	12	331
7	13	333
8	15	338
9	18	342
10	20	344
11	22	346
12	23	341
13	25	335
14	26	325
15	28	328
16	30	330
17	32	332
18	34	332
19	36	329
20	38	327
21	39	323
22	41	321
23	43	319
24	45	317
25	46	313
26	48	312
27	50	308
28	52	307
29	53	304
30	55	303
31	57	300
32	59	298
33	60	296
34	62	295
35	64	293
36	66	291
37	67	289
38	69	287
39	71	286
40	73	285
41	75	283
42	77	281
43	78	279
44	80	277
45	82	276
46	84	274
47	86	272
48	87	270
49	89	268
50	91	267
51	93	265
52	95	264
53	97	263
54	99	261
55	100	259
56	102	257
57	104	255
58	106	253
59	107	251
60	109	250
61	111	249
62	113	247
63	115	245
64	117	243
65	119	241
66	120	240
67	122	238
68	124	236
69	125	233
70	127	231
71	129	230
72	131	228
73	133	226
74	135	225
75	136	223
76	138	221
77	140	219
78	142	217
79	144	216
80	145	214
81	147	212
82	149	210
83	151	208
84	153	207
85	155	205
86	157	204
87	159	202
88	161	200
89	162	198
90	164	196
91	165	194
92	167	192
93	169	191
94	171	189
95	173	187
96	175	185
97	177	184
98	179	182
99	180	180
100	182	178
101	183	176
102	185	174
103	187	173
104	189	171
105	191	169
106	193	168
107	195	166
108	197	164
109	199	162
110	201	161
111	202	159
112	204	157
113	206	155
114	207	153
115	209	151
116	211	149
117	212	147
118	214	146
119	216	144
120	218	142
121	219	140
122	221	138
123	223	137
124	225	135
125	227	133
126	229	131
127	231	130
128	233	128
129	234	126
130	236	124
131	238	122
132	240	121
133	242	119
134	244	117
135	246	115
136	248	114
137	250	112
138	252	110
139	254	108
140	256	107
141	258	105
142	259	103
143	261	101
144	264	100
145	265	98
146	266	96
147	268	94
148	270	92
149	271	90
150	273	88
151	275	86
152	277	85
153	278	83
154	280	81
155	282	79
156	284	77
157	285	76
158	287	74
159	288	72
160	290	70
161	292	68
162	294	66
163	295	64
164	297	63
165	299	61
166	301	59
167	303	57
168	304	55
169	306	54
170	308	52
171	310	50
172	312	48
173	314	46
174	316	45
175	317	43
176	319	41
177	321	39
178	323	37
179	324	36
180	326	34
181	328	32
182	329	30
183	331	28
184	333	27
185	334	25
186	336	23
187	338	21
188	340	19
189	342	18
190	344	16
191	345	14
192	347	12
193	349	10
194	351	9
195	353	7
196	355	5
197	357	3
198	358	1
199	360	0
