user_id,month,total_calls,total_mins,total_internet,total_messages,plan,city,messages_included,mb_per_month_included,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute,total_revenue
1000,12,16.0,124.0,1903.0,11.0,ultimate,"Atlanta-Sandy Springs-Roswell, GA MSA",1000,30720,3000,70,7,0.01,0.01,70.0
1001,8,27.0,182.0,6929.0,30.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,20.0
1001,9,49.0,315.0,13333.0,44.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,20.0
1001,10,65.0,393.0,22356.0,53.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,90.09
1001,11,64.0,426.0,18524.0,36.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,60.0
1001,12,56.0,412.0,19398.0,44.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,70.0
1002,10,11.0,59.0,6559.0,15.0,surf,"Las Vegas-Henderson-Paradise, NV MSA",50,15360,500,20,10,0.03,0.03,20.0
1002,11,55.0,386.0,19364.0,32.0,surf,"Las Vegas-Henderson-Paradise, NV MSA",50,15360,500,20,10,0.03,0.03,70.0
1002,12,47.0,384.0,14416.0,41.0,surf,"Las Vegas-Henderson-Paradise, NV MSA",50,15360,500,20,10,0.03,0.03,20.0
1003,12,149.0,1104.0,27069.0,50.0,surf,"Tulsa, OK MSA",50,15360,500,20,10,0.03,0.03,158.12
1004,5,21.0,193.0,6554.0,7.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,20.0
1004,6,44.0,275.0,20702.0,18.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,80.0
1004,7,49.0,381.0,24547.0,26.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,120.0
1004,8,49.0,354.0,28015.0,25.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,150.0
1004,9,42.0,301.0,18874.0,21.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,60.0
1004,10,61.0,365.0,14564.0,24.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,20.0
1004,11,54.0,476.0,21882.0,25.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,90.0
1004,12,50.0,427.0,21410.0,31.0,surf,"Seattle-Tacoma-Bellevue, WA MSA",50,15360,500,20,10,0.03,0.03,90.0
1005,12,59.0,496.0,17164.0,11.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,40.0
1006,11,2.0,10.0,2072.0,15.0,ultimate,"San Francisco-Oakland-Berkeley, CA MSA",1000,30720,3000,70,7,0.01,0.01,70.0
1006,12,9.0,59.0,32144.0,139.0,ultimate,"San Francisco-Oakland-Berkeley, CA MSA",1000,30720,3000,70,7,0.01,0.01,84.0
1007,8,70.0,456.0,24464.0,51.0,surf,"Grand Rapids-Kentwood, MI MSA",50,15360,500,20,10,0.03,0.03,120.03
1007,9,63.0,399.0,28148.0,47.0,surf,"Grand Rapids-Kentwood, MI MSA",50,15360,500,20,10,0.03,0.03,150.0
1007,10,80.0,645.0,37916.0,59.0,surf,"Grand Rapids-Kentwood, MI MSA",50,15360,500,20,10,0.03,0.03,254.62
1007,11,80.0,524.0,24355.0,48.0,surf,"Grand Rapids-Kentwood, MI MSA",50,15360,500,20,10,0.03,0.03,110.72
1007,12,87.0,617.0,29096.0,50.0,surf,"Grand Rapids-Kentwood, MI MSA",50,15360,500,20,10,0.03,0.03,163.51
1008,10,71.0,476.0,17131.0,21.0,ultimate,"Orlando-Kissimmee-Sanford, FL MSA",1000,30720,3000,70,7,0.01,0.01,70.0
1008,11,63.0,446.0,23706.0,37.0,ultimate,"Orlando-Kissimmee-Sanford, FL MSA",1000,30720,3000,70,7,0.01,0.01,70.0
1008,12,85.0,634.0,14707.0,26.0,ultimate,"Orlando-Kissimmee-Sanford, FL MSA",1000,30720,3000,70,7,0.01,0.01,70.0
1009,5,71.0,534.0,20409.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,81.02
1009,6,110.0,823.0,18861.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,69.69
1009,7,124.0,880.0,30448.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,191.4
1009,8,109.0,731.0,24584.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,126.93
1009,9,116.0,776.0,20984.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,88.28
1009,10,114.0,740.0,22685.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,107.2
1009,11,105.0,714.0,25496.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,136.42000000000002
1009,12,107.0,756.0,23946.0,0.0,surf,"San Jose-Sunnyvale-Santa Clara, CA MSA",50,15360,500,20,10,0.03,0.03,117.68
1010,3,63.0,429.0,10705.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,20.0
1010,4,90.0,656.0,19747.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,74.68
1010,5,81.0,532.0,15915.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,30.96
1010,6,77.0,553.0,16848.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,41.59
1010,7,101.0,698.0,12677.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,25.939999999999998
1010,8,93.0,637.0,19831.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,74.11
1010,9,83.0,601.0,16836.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,43.03
1010,10,95.0,711.0,16963.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,46.33
1010,11,30.0,258.0,7993.0,0.0,surf,"Dallas-Fort Worth-Arlington, TX MSA",50,15360,500,20,10,0.03,0.03,20.0
